common_name,scientific_name
White-browed Scimitar Babbler,Pomatorhinus schisticeps
Indian Scimitar Babbler,Pomatorhinus horsfieldii
Large Scimitar Babbler,Erythrogenys hypoleucos
Rusty-cheeked Scimitar Babbler,Erythrogenys erythrogenys
Spot-breasted Scimitar Babbler,Erythrogenys mcclellandi
Grey-throated Babbler,Stachyris nigriceps
Sikkim Wedge-billed Babbler,Stachyris humei
Cachar Wedge-billed Babbler,Stachyris roberti
Snowy-throated Babbler,Stachyris oglei
Indian Grassbird,Graminicola bengalensis
White-hooded Babbler,Gampsorhynchus rufulus
Yellow-throated Fulvetta,Schoeniparus cinereus
Rufous-winged Fulvetta,Schoeniparus castaneceps
Rufous-throated Fulvetta,Schoeniparus rufogularis
Rusty-capped Fulvetta,Schoeniparus dubius
Puff-throated Babbler,Pellorneum ruficeps
Marsh Babbler,Pellorneum palustre
Spot-throated Babbler,Pellorneum albiventre
Buff-breasted Babbler,Pellorneum tickelli
Rufous-vented Grass Babbler,Laticilla burnesii
Swamp Grass Babbler,Laticilla cinerascens
Abbott's Babbler,Malacocincla abbotti
Streaked Wren-Babbler,Gypsophila brevicaudata
Eyebrowed Wren-Babbler,Napothera epilepidota
Long-billed Wren-Babbler,Napothera malacoptila
Brown-cheeked Fulvetta,Alcippe poioicephala
Nepal Fulvetta,Alcippe nipalensis
Striated Laughingthrush,Grammatoptila striata
Himalayan Cutia,Cutia nipalensis
Scaly Laughingthrush,Trochalopteron subunicolor
Brown-capped Laughingthrush,Trochalopteron austeni
Blue-winged Laughingthrush,Trochalopteron squamatum
Streaked Laughingthrush,Trochalopteron lineatum
Bhutan Laughingthrush,Trochalopteron imbricatum
Striped Laughingthrush,Trochalopteron virgatum
Variegated Laughingthrush,Trochalopteron variegatum
Black-faced Laughingthrush,Trochalopteron affine
Elliot's Laughingthrush,Trochalopteron elliotii
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum
Assam Laughingthrush,Trochalopteron chrysopterum
Banasura Laughingthrush,Montecincla jerdoni
Nilgiri Laughingthrush,Montecincla cachinnans
Palani Laughingthrush,Montecincla fairbanki
Ashambu Laughingthrush,Montecincla meridionalis
Long-tailed Sibia,Heterophasia picaoides
Rufous Sibia,Heterophasia capistrata
Beautiful Sibia,Heterophasia pulchella
Grey Sibia,Heterophasia gracilis
Hoary-throated Barwing,Actinodura nipalensis
Streak-throated Barwing,Actinodura waldeni
Blue-winged Minla,Actinodura cyanouroptera
Bar-throated Minla,Actinodura strigula
Rusty-fronted Barwing,Actinodura egertoni
Red-billed Leiothrix,Leiothrix lutea
Silver-eared Mesia,Leiothrix argentauris
Red-tailed Minla,Minla ignotincta
Rufous-backed Sibia,Leioptila annectens
Bugun Liocichla,Liocichla bugunorum
Red-faced Liocichla,Liocichla phoenicea
