common_name,scientific_name
Yellow-bellied fantail,Chelidorhynx hypoxanthus
Grey-headed canary-flycatcher,Culicicapa ceylonensis
Fire-capped tit,Cephalopyrus flammiceps
Yellow-browed tit,Sylviparus modestus
Sultan tit,Melanochlora sultanea
Rufous-naped tit,Periparus rufonuchalis
Rufous-vented tit,Periparus rubidiventris
Coal tit,Periparus ater
Grey-crested tit,Lophophanes dichrous
Azure tit,Cyanistes cyanus
Ground tit,Pseudopodoces humilis
Cinereous tit,Parus cinereus
Green-backed tit,Parus monticolus
White-naped tit,Machlolophus nuchalis
Himalayan black-lored tit,Machlolophus xanthogenys
Indian black-lored tit,Machlolophus aplonotus
Yellow-cheeked tit,Machlolophus spilonotus
White-crowned penduline tit,Remiz coronatus
Greater hoopoe-lark,Alaemon alaudipes
Desert lark,Ammomanes deserti
Rufous-tailed lark,Ammomanes phoenicura
Black-crowned sparrow-lark,Eremopterix nigriceps
Ashy-crowned sparrow-lark,Eremopterix griseus
Singing bush lark,Mirafra cantillans
Bengal bush lark,Mirafra assamica
Indian bush lark,Mirafra erythroptera
Jerdon's bush lark,Mirafra affinis
Oriental skylark,Alauda gulgula
Eurasian skylark,Alauda arvensis
Sykes's lark,Galerida deva
Crested lark,Galerida cristata
Malabar lark,Galerida malabarica
Horned lark,Eremophila alpestris
Hume's short-toed lark,Calandrella acutirostris
Mongolian short-toed lark,Calandrella dukhunensis
Greater short-toed lark,Calandrella brachydactyla
Bimaculated lark,Melanocorypha bimaculata
Tibetan lark,Melanocorypha maxima
Turkestan short-toed lark,Alaudala heinei
Sand lark,Alaudala raytal
White-throated bulbul,Alophoixus flaveolus
Striated bulbul,Alcurus striatus
Cachar bulbul,Iole cacharensis
Grey-eyed bulbul,Iole propinqua
Ashy bulbul,Hemixos flavala
Yellow-browed bulbul,Acritillas indica
Mountain bulbul,Ixos mcclellandii
Nicobar bulbul,Ixos nicobariensis
Black bulbul,Hypsipetes leucocephalus
Square-tailed bulbul,Hypsipetes ganeesa
Grey-headed bulbul,Brachypodius priocephalus
Black-headed bulbul,Brachypodius melanocephalos
Andaman bulbul,Brachypodius fuscoflavescens
Black-crested bulbul,Rubigula flaviventris
Flame-throated bulbul,Rubigula gularis
Crested finchbill,Spizixos canifrons
White-browed bulbul,Pycnonotus luteolus
Flavescent bulbul,Pycnonotus flavescens
Yellow-throated bulbul,Pycnonotus xantholaemus
Red-whiskered bulbul,Pycnonotus jocosus
Red-vented bulbul,Pycnonotus cafer
White-eared bulbul,Pycnonotus leucotis
Himalayan bulbul,Pycnonotus leucogenys
Grey-throated martin,Riparia chinensis
Sand martin,Riparia riparia
Pale martin,Riparia diluta
Barn swallow,Hirundo rustica
Pacific swallow,Hirundo tahitica
Hill swallow,Hirundo domicola
Wire-tailed swallow,Hirundo smithii
Eurasian crag martin,Ptyonoprogne rupestris
Dusky crag martin,Ptyonoprogne concolor
Common house martin,Delichon urbicum
Asian house martin,Delichon dasypus
Nepal house martin,Delichon nipalense
Red-rumped swallow,Cecropis daurica
Striated swallow,Cecropis striolata
Streak-throated swallow,Petrochelidon fluvicola
Scaly-breasted cupwing,Pnoepyga albiventer
Nepal cupwing,Pnoepyga immaculata
Pygmy cupwing,Pnoepyga pusilla
Yellow-bellied warbler,Abroscopus superciliaris
Rufous-faced warbler,Abroscopus albogularis
Black-faced warbler,Abroscopus schisticeps
Mountain tailorbird,Phyllergates cucullatus
Broad-billed warbler,Tickellia hodgsoni
Manchurian bush warbler,Horornis canturians
Brown-flanked bush warbler,Horornis fortipes
Hume's bush warbler,Horornis brunnescens
Aberrant bush warbler,Horornis flavolivaceus
Grey-bellied tesia,Tesia cyaniventer
Slaty-bellied tesia,Tesia olivea
Cetti's warbler,Cettia cetti
Chestnut-crowned bush warbler,Cettia major
Grey-sided bush warbler,Cettia brunnifrons
Chestnut-headed tesia,Cettia castaneocoronata
Asian stubtail,Urosphena squameiceps
Pale-footed bush warbler,Hemitesia pallidipes
White-cheeked bushtit,Aegithalos leucogenys
Black-throated bushtit,Aegithalos concinnus
White-throated bushtit,Aegithalos niveogularis
Rufous-fronted bushtit,Aegithalos iouschistos
Black-browed bushtit,Aegithalos bonvaloti
White-browed tit-warbler,Leptopoecile sophiae
Crested tit-warbler,Leptopoecile elegans
Wood warbler,Phylloscopus sibilatrix
Buff-barred warbler,Phylloscopus pulcher
Ashy-throated warbler,Phylloscopus maculipennis
Hume's leaf warbler,Phylloscopus humei
Yellow-browed warbler,Phylloscopus inornatus
Brooks's leaf warbler,Phylloscopus subviridis
Chinese leaf warbler,Phylloscopus yunnanensis
Lemon-rumped warbler,Phylloscopus chloronotus
Sichuan leaf warbler,Phylloscopus forresti
Pallas's leaf warbler,Phylloscopus proregulus
Tytler's leaf warbler,Phylloscopus tytleri
Sulphur-bellied warbler,Phylloscopus griseolus
Tickell's leaf warbler,Phylloscopus affinis
Smoky warbler,Phylloscopus fuligiventer
Dusky warbler,Phylloscopus fuscatus
Plain leaf warbler,Phylloscopus neglectus
Buff-throated warbler,Phylloscopus subaffinis
Willow warbler,Phylloscopus trochilus
Mountain chiffchaff,Phylloscopus sindianus
Common chiffchaff,Phylloscopus collybita
White-spectacled warbler,Phylloscopus intermedius
Grey-cheeked warbler,Phylloscopus poliogenys
Green-crowned warbler,Phylloscopus burkii
Grey-crowned warbler,Phylloscopus tephrocephalus
Whistler's warbler,Phylloscopus whistleri
Bianchi's warbler,Phylloscopus valentini
Green warbler,Phylloscopus nitidus
Two-barred warbler,Phylloscopus plumbeitarsus
Greenish warbler,Phylloscopus trochiloides
Large-billed leaf warbler,Phylloscopus magnirostris
Pale-legged leaf warbler,Phylloscopus tenellipes
Sakhalin leaf warbler,Phylloscopus borealoides
Arctic warbler,Phylloscopus borealis
Chestnut-crowned warbler,Phylloscopus castaniceps
Yellow-vented warbler,Phylloscopus cantator
Western crowned warbler,Phylloscopus occipitalis
Blyth's leaf warbler,Phylloscopus reguloides
Claudia's leaf warbler,Phylloscopus claudiae
Grey-hooded warbler,Phylloscopus xanthoschistos
Great reed warbler,Acrocephalus arundinaceus
Oriental reed warbler,Acrocephalus orientalis
Clamorous reed warbler,Acrocephalus stentoreus
Black-browed reed warbler,Acrocephalus bistrigiceps
Moustached warbler,Acrocephalus melanopogon
Sedge warbler,Acrocephalus schoenobaenus
Blunt-winged warbler,Acrocephalus concinens
Large-billed reed warbler,Acrocephalus orinus
Paddyfield warbler,Acrocephalus agricola
Blyth's reed warbler,Acrocephalus dumetorum
Thick-billed warbler,Arundinax aedon
Booted warbler,Iduna caligata
Sykes's warbler,Iduna rama
Pallas's grasshopper warbler,Helopsaltes certhiola
Lanceolated warbler,Locustella lanceolata
Long-billed bush warbler,Locustella major
Brown bush warbler,Locustella luteoventris
Common grasshopper warbler,Locustella naevia
Chinese bush warbler,Locustella tacsanowskia
Baikal bush warbler,Locustella davidi
West Himalayan bush warbler,Locustella kashmirensis
Spotted bush warbler,Locustella thoracica
Russet bush warbler,Locustella mandelli
Striated grassbird,Megalurus palustris
Broad-tailed grassbird,Schoenicola platyurus
Bristled grassbird,Schoenicola striatus
Zitting cisticola,Cisticola juncidis
Golden-headed cisticola,Cisticola exilis
Himalayan prinia,Prinia crinigera
Rufous-crowned prinia,Prinia khasiana
Hill prinia,Prinia superciliaris
Grey-crowned prinia,Prinia cinereocapilla
Rufous-fronted prinia,Prinia buchanani
Rufescent prinia,Prinia rufescens
Grey-breasted prinia,Prinia hodgsonii
Delicate prinia,Prinia lepida
Jungle prinia,Prinia sylvatica
Yellow-bellied prinia,Prinia flaviventris
Ashy prinia,Prinia socialis
Plain prinia,Prinia inornata
Common tailorbird,Orthotomus sutorius
Dark-necked tailorbird,Orthotomus atrogularis
Eurasian blackcap,Sylvia atricapilla
Garden warbler,Sylvia borin
Barred warbler,Curruca nisoria
Desert whitethroat,Curruca minula
Lesser whitethroat,Curruca curruca
Hume's whitethroat,Curruca althaea
Eastern Orphean warbler,Curruca crassirostris
Asian desert warbler,Curruca nana
Common whitethroat,Curruca communis
Fire-tailed myzornis,Myzornis pyrrhoura
Golden-breasted fulvetta,Lioparus chrysotis
Yellow-eyed babbler,Chrysomma sinense
Jerdon's babbler,Chrysomma altirostre
White-browed fulvetta,Fulvetta vinipectus
Brown-throated fulvetta,Fulvetta ludlowi
Manipur fulvetta,Fulvetta manipurensis
Black-breasted parrotbill,Paradoxornis flavirostris
Spot-breasted parrotbill,Paradoxornis guttaticollis
Great parrotbill,Conostoma aemodium
Brown parrotbill,Cholornis unicolor
Grey-headed parrotbill,Psittiparus gularis
White-breasted parrotbill,Psittiparus ruficeps
Rufous-headed parrotbill,Psittiparus bakeri
Fulvous parrotbill,Suthora fulvifrons
Black-throated parrotbill,Suthora nipalensis
Pale-billed parrotbill,Chleuasicus atrosuperciliaris
Striated yuhina,Staphida castaniceps
Black-chinned yuhina,Yuhina nigrimenta
Whiskered yuhina,Yuhina flavicollis
White-naped yuhina,Yuhina bakeri
Stripe-throated yuhina,Yuhina gularis
Rufous-vented yuhina,Yuhina occipitalis
Chestnut-flanked white-eye,Zosterops erythropleurus
Indian white-eye,Zosterops palpebrosus
Chestnut-capped babbler,Timalia pileata
Tawny-bellied babbler,Dumetia hyperythra
Dark-fronted babbler,Dumetia atriceps
Pin-striped tit-babbler,Mixornis gularis
Golden babbler,Cyanoderma chrysaeum
Black-chinned babbler,Cyanoderma pyrrhops
Rufous-capped babbler,Cyanoderma ruficeps
Buff-chested babbler,Cyanoderma ambiguum
Rufous-throated wren-babbler,Spelaeornis caudatus
Mishmi wren-babbler,Spelaeornis badeigularis
Bar-winged wren-babbler,Spelaeornis troglodytoides
Naga wren-babbler,Spelaeornis chocolatinus
Chin Hills wren-babbler,Spelaeornis oatesi
Tawny-breasted wren-babbler,Spelaeornis longicaudatus
Grey-bellied wren-babbler,Spelaeornis reptatus
Coral-billed scimitar babbler,Pomatorhinus ferruginosus
Red-billed scimitar babbler,Pomatorhinus ochraceiceps
Slender-billed scimitar babbler,Pomatorhinus superciliaris
Streak-breasted scimitar babbler,Pomatorhinus ruficollis
White-browed scimitar babbler,Pomatorhinus schisticeps
Indian scimitar babbler,Pomatorhinus horsfieldii
Large scimitar babbler,Erythrogenys hypoleucos
Rusty-cheeked scimitar babbler,Erythrogenys erythrogenys
Spot-breasted scimitar babbler,Erythrogenys mcclellandi
Grey-throated babbler,Stachyris nigriceps
Sikkim wedge-billed babbler,Stachyris humei
Cachar wedge-billed babbler,Stachyris roberti
Snowy-throated babbler,Stachyris oglei
Indian grassbird,Graminicola bengalensis
White-hooded babbler,Gampsorhynchus rufulus
Yellow-throated fulvetta,Schoeniparus cinereus
Rufous-winged fulvetta,Schoeniparus castaneceps
Rufous-throated fulvetta,Schoeniparus rufogularis
Rusty-capped fulvetta,Schoeniparus dubius
Puff-throated babbler,Pellorneum ruficeps
Marsh babbler,Pellorneum palustre
Spot-throated babbler,Pellorneum albiventre
Buff-breasted babbler,Pellorneum tickelli
Rufous-vented grass babbler,Laticilla burnesii
Swamp grass babbler,Laticilla cinerascens
Abbott's babbler,Malacocincla abbotti
Streaked wren-babbler,Gypsophila brevicaudata
Eyebrowed wren-babbler,Napothera epilepidota
Long-billed wren-babbler,Napothera malacoptila
Brown-cheeked fulvetta,Alcippe poioicephala
Nepal fulvetta,Alcippe nipalensis
Striated laughingthrush,Grammatoptila striata
Himalayan cutia,Cutia nipalensis
Scaly laughingthrush,Trochalopteron subunicolor
Brown-capped laughingthrush,Trochalopteron austeni
Blue-winged laughingthrush,Trochalopteron squamatum
Streaked laughingthrush,Trochalopteron lineatum
Bhutan laughingthrush,Trochalopteron imbricatum
Striped laughingthrush,Trochalopteron virgatum
Variegated laughingthrush,Trochalopteron variegatum
Black-faced laughingthrush,Trochalopteron affine
Elliot's laughingthrush,Trochalopteron elliotii
Chestnut-crowned laughingthrush,Trochalopteron erythrocephalum
Assam laughingthrush,Trochalopteron chrysopterum
Banasura laughingthrush,Montecincla jerdoni
Nilgiri laughingthrush,Montecincla cachinnans
Palani laughingthrush,Montecincla fairbanki
Ashambu laughingthrush,Montecincla meridionalis
Long-tailed sibia,Heterophasia picaoides
Rufous sibia,Heterophasia capistrata
Beautiful sibia,Heterophasia pulchella
Grey sibia,Heterophasia gracilis
Hoary-throated barwing,Actinodura nipalensis
Streak-throated barwing,Actinodura waldeni
Blue-winged minla,Actinodura cyanouroptera
Bar-throated minla,Actinodura strigula
Rusty-fronted barwing,Actinodura egertoni
Red-billed leiothrix,Leiothrix lutea
Silver-eared mesia,Leiothrix argentauris
Red-tailed minla,Minla ignotincta
Rufous-backed sibia,Leioptila annectens
Bugun liocichla,Liocichla bugunorum
Red-faced liocichla,Liocichla phoenicea
Large grey babbler,Argya malcolmi
Slender-billed babbler,Argya longirostris
Rufous babbler,Argya subrufa
Jungle babbler,Argya striata
Yellow-billed babbler,Argya affinis
Common babbler,Argya caudata
Striated babbler,Argya earlei
Spot-breasted laughingthrush,Garrulax merulinus
Lesser necklaced laughingthrush,Garrulax monileger
White-crested laughingthrush,Garrulax leucolophus
Rufous-chinned laughingthrush,Ianthocincla rufogularis
Moustached laughingthrush,Ianthocincla cineracea
Spotted laughingthrush,Ianthocincla ocellata
Wynaad laughingthrush,Pterorhinus delesserti
Rufous-vented laughingthrush,Pterorhinus gularis
Yellow-throated laughingthrush,Pterorhinus galbanus
Rufous-necked laughingthrush,Pterorhinus ruficollis
Chestnut-backed laughingthrush,Pterorhinus nuchalis
White-browed laughingthrush,Pterorhinus sannio
Greater necklaced laughingthrush,Pterorhinus pectoralis
Mount Victoria babax,Pterorhinus woodi
White-throated laughingthrush,Pterorhinus albogularis
Grey-sided laughingthrush,Pterorhinus caerulatus
Asian fairy-bluebird,Irena puella
Goldcrest,Regulus regulus
Spotted elachura,Elachura formosa
Eurasian wren,Troglodytes troglodytes
White-cheeked nuthatch,Sitta leucopsis
Beautiful nuthatch,Sitta formosa
Velvet-fronted nuthatch,Sitta frontalis
Yunnan nuthatch,Sitta yunnanensis
White-tailed nuthatch,Sitta himalayensis
Chestnut-vented nuthatch,Sitta nagaensis
Kashmir nuthatch,Sitta cashmirensis
Indian nuthatch,Sitta castanea
Chestnut-bellied nuthatch,Sitta cinnamoventris
Wallcreeper,Tichodroma muraria
Hodgson's treecreeper,Certhia hodgsoni
Bar-tailed treecreeper,Certhia himalayana
Rusty-flanked treecreeper,Certhia nipalensis
Sikkim treecreeper,Certhia discolor
Hume's treecreeper,Certhia manipurensis
Indian spotted creeper,Salpornis spilonota
Asian glossy starling,Aplonis panayensis
Spot-winged starling,Saroglossa spilopterus
Golden-crested myna,Ampeliceps coronatus
Common hill myna,Gracula religiosa
Southern hill myna,Gracula indica
Great myna,Acridotheres grandis
Jungle myna,Acridotheres fuscus
Collared myna,Acridotheres albocinctus
Bank myna,Acridotheres ginginianus
Common myna,Acridotheres tristis
Red-billed starling,Spodiopsar sericeus
White-cheeked starling,Spodiopsar cineraceus
Indian pied myna,Gracupica contra
Daurian starling,Agropsar sturninus
Chestnut-cheeked starling,Agropsar philippensis
White-shouldered starling,Sturnia sinensis
Chestnut-tailed starling,Sturnia malabarica
White-headed starling,Sturnia erythropygia
Malabar starling,Sturnia blythii
Brahminy starling,Sturnia pagodarum
Rosy starling,Pastor roseus
Common starling,Sturnus vulgaris
Pied thrush,Geokichla wardii
Orange-headed thrush,Geokichla citrina
Siberian thrush,Geokichla sibirica
Alpine thrush,Zoothera mollissima
Himalayan thrush,Zoothera salimalii
Long-tailed thrush,Zoothera dixoni
Scaly thrush,Zoothera dauma
Nilgiri thrush,Zoothera neilgherriensis
Long-billed thrush,Zoothera monticola
Dark-sided thrush,Zoothera marginata
Grandala,Grandala coelicolor
Tickell's thrush,Turdus unicolor
Black-breasted thrush,Turdus dissimilis
Japanese thrush,Turdus cardis
White-collared blackbird,Turdus albocinctus
Grey-winged blackbird,Turdus boulboul
Tibetan blackbird,Turdus maximus
Indian blackbird,Turdus simillimus
Chestnut thrush,Turdus rubrocanus
White-backed thrush,Turdus kessleri
Grey-sided thrush,Turdus feae
Eyebrowed thrush,Turdus obscurus
Black-throated thrush,Turdus atrogularis
Red-throated thrush,Turdus ruficollis
Naumann's thrush,Turdus naumanni
Dusky thrush,Turdus eunomus
Fieldfare,Turdus pilaris
Song thrush,Turdus philomelos
Chinese thrush,Turdus mupinensis
Mistle thrush,Turdus viscivorus
Purple cochoa,Cochoa purpurea
Green cochoa,Cochoa viridis
Rufous-tailed scrub robin,Cercotrichas galactotes
Indian robin,Copsychus fulicatus
Oriental magpie-robin,Copsychus saularis
White-rumped shama,Copsychus malabaricus
Andaman shama,Copsychus albiventris
White-crowned shama,Copsychus stricklandii
Spotted flycatcher,Muscicapa striata
Dark-sided flycatcher,Muscicapa sibirica
Asian brown flycatcher,Muscicapa dauurica
Brown-breasted flycatcher,Muscicapa muttui
Ferruginous flycatcher,Muscicapa ferruginea
White-gorgeted flycatcher,Anthipes monileger
Pale blue flycatcher,Cyornis unicolor
White-bellied blue flycatcher,Cyornis pallidipes
Pale-chinned blue flycatcher,Cyornis poliogenys
Hill blue flycatcher,Cyornis whitei
Large blue flycatcher,Cyornis magnirostris
Tickell's blue flycatcher,Cyornis tickelliae
Blue-throated blue flycatcher,Cyornis rubeculoides
White-tailed flycatcher,Cyornis concretus
Nicobar jungle flycatcher,Cyornis nicobaricus
Rufous-bellied niltava,Niltava sundara
Vivid niltava,Niltava vivida
Large niltava,Niltava grandis
Small niltava,Niltava macgrigoriae
Blue-and-white flycatcher,Cyanoptila cyanomelana
Zappey's flycatcher,Cyanoptila cumatilis
Verditer flycatcher,Eumyias thalassinus
Nilgiri flycatcher,Eumyias albicaudatus
Gould's shortwing,Heteroxenicus stellatus
Rusty-bellied shortwing,Brachypteryx hyperythra
Lesser shortwing,Brachypteryx leucophris
Himalayan shortwing,Brachypteryx cruralis
Indian blue robin,Larvivora brunnea
Siberian blue robin,Larvivora cyane
Bluethroat,Luscinia svecica
White-bellied redstart,Luscinia phaenicuroides
Himalayan rubythroat,Calliope pectoralis
Chinese rubythroat,Calliope tschebaiewi
Siberian rubythroat,Calliope calliope
Firethroat,Calliope pectardens
White-tailed robin,Myiomela leucura
Nilgiri blue robin,Sholicola major
White-bellied blue robin,Sholicola albiventris
White-browed bush robin,Tarsiger indicus
Rufous-breasted bush robin,Tarsiger hyperythrus
Red-flanked bluetail,Tarsiger cyanurus
Himalayan bluetail,Tarsiger rufilatus
Golden bush robin,Tarsiger chrysaeus
Little forktail,Enicurus scouleri
Black-backed forktail,Enicurus immaculatus
Slaty-backed forktail,Enicurus schistaceus
White-crowned forktail,Enicurus leschenaulti
Spotted forktail,Enicurus maculatus
Malabar whistling thrush,Myophonus horsfieldii
Blue whistling thrush,Myophonus caeruleus
Blue-fronted robin,Cinclidium frontale
Yellow-rumped flycatcher,Ficedula zanthopygia
Slaty-backed flycatcher,Ficedula erithacus
Mugimaki flycatcher,Ficedula mugimaki
Pygmy flycatcher,Ficedula hodgsoni
Rufous-gorgeted flycatcher,Ficedula strophiata
Sapphire flycatcher,Ficedula sapphira
Ultramarine flycatcher,Ficedula superciliaris
Little pied flycatcher,Ficedula westermanni
Slaty-blue flycatcher,Ficedula tricolor
Snowy-browed flycatcher,Ficedula hyperythra
Rusty-tailed flycatcher,Ficedula ruficauda
Taiga flycatcher,Ficedula albicilla
Red-breasted flycatcher,Ficedula parva
Kashmir flycatcher,Ficedula subrubra
Black-and-orange flycatcher,Ficedula nigrorufa
Eversmann's redstart,Phoenicurus erythronotus
Blue-capped redstart,Phoenicurus coeruleocephala
Black redstart,Phoenicurus ochruros
Common redstart,Phoenicurus phoenicurus
Hodgson's redstart,Phoenicurus hodgsoni
White-throated redstart,Phoenicurus schisticeps
Daurian redstart,Phoenicurus auroreus
Güldenstädt's redstart,Phoenicurus erythrogastrus
Blue-fronted redstart,Phoenicurus frontalis
Plumbeous water redstart,Phoenicurus fuliginosus
White-capped redstart,Phoenicurus leucocephalus
Common rock thrush,Monticola saxatilis
Blue rock thrush,Monticola solitarius
Chestnut-bellied rock thrush,Monticola rufiventris
Blue-capped rock thrush,Monticola cinclorhyncha
Whinchat,Saxicola rubetra
White-browed bush chat,Saxicola macrorhynchus
White-throated bush chat,Saxicola insignis
Siberian stonechat,Saxicola maurus
Amur stonechat,Saxicola stejnegeri
White-tailed stonechat,Saxicola leucurus
Pied bush chat,Saxicola caprata
Jerdon's bush chat,Saxicola jerdoni
Grey bush chat,Saxicola ferreus
Northern wheatear,Oenanthe oenanthe
Isabelline wheatear,Oenanthe isabellina
Desert wheatear,Oenanthe deserti
Pied wheatear,Oenanthe pleschanka
Brown rock chat,Oenanthe fusca
Variable wheatear,Oenanthe picata
Hume's wheatear,Oenanthe albonigra
Finsch's wheatear,Oenanthe finschii
Red-tailed wheatear,Oenanthe chrysopygia
White-throated dipper,Cinclus cinclus
Brown dipper,Cinclus pallasii
Blue-winged leafbird,Chloropsis cochinchinensis
Jerdon's leafbird,Chloropsis jerdoni
Golden-fronted leafbird,Chloropsis aurifrons
Orange-bellied leafbird,Chloropsis hardwickii
Thick-billed flowerpecker,Dicaeum agile
Yellow-vented flowerpecker,Dicaeum chrysorrheum
Yellow-bellied flowerpecker,Dicaeum melanozanthum
Pale-billed flowerpecker,Dicaeum erythrorhynchos
Nilgiri flowerpecker,Dicaeum concolor
Plain flowerpecker,Dicaeum minullum
Andaman flowerpecker,Dicaeum virescens
Fire-breasted flowerpecker,Dicaeum ignipectus
Scarlet-backed flowerpecker,Dicaeum cruentatum
Ruby-cheeked sunbird,Chalcoparia singalensis
Purple-rumped sunbird,Leptocoma zeylonica
Crimson-backed sunbird,Leptocoma minima
Van Hasselt's sunbird,Leptocoma brasiliana
Purple sunbird,Cinnyris asiaticus
Olive-backed sunbird,Cinnyris jugularis
Loten's sunbird,Cinnyris lotenius
Mrs. Gould's sunbird,Aethopyga gouldiae
Green-tailed sunbird,Aethopyga nipalensis
Black-throated sunbird,Aethopyga saturata
Crimson sunbird,Aethopyga siparaja
Vigors's sunbird,Aethopyga vigorsii
Fire-tailed sunbird,Aethopyga ignicauda
Little spiderhunter,Arachnothera longirostra
Streaked spiderhunter,Arachnothera magna
House sparrow,Passer domesticus
Spanish sparrow,Passer hispaniolensis
Sind sparrow,Passer pyrrhonotus
Russet sparrow,Passer cinnamomeus
Eurasian tree sparrow,Passer montanus
Pale rockfinch,Carpospiza brachydactyla
Rock sparrow,Petronia petronia
Yellow-throated sparrow,Gymnoris xanthocollis
Black-winged snowfinch,Montifringilla adamsi
White-rumped snowfinch,Onychostruthus taczanowskii
Rufous-necked snowfinch,Pyrgilauda ruficollis
Blanford's snowfinch,Pyrgilauda blanfordi
Black-breasted weaver,Ploceus benghalensis
Streaked weaver,Ploceus manyar
Baya weaver,Ploceus philippinus
Finn's weaver,Ploceus megarhynchus
Indian silverbill,Euodice malabarica
Scaly-breasted munia,Lonchura punctulata
Black-throated munia,Lonchura kelaarti
White-rumped munia,Lonchura striata
Tricoloured munia,Lonchura malacca
Chestnut munia,Lonchura atricapilla
Green avadavat,Amandava formosa
Red avadavat,Amandava amandava
Alpine accentor,Prunella collaris
Altai accentor,Prunella himalayana
Robin accentor,Prunella rubeculoides
Rufous-breasted accentor,Prunella strophiata
Brown accentor,Prunella fulvescens
Black-throated accentor,Prunella atrogularis
Maroon-backed accentor,Prunella immaculata
Forest wagtail,Dendronanthus indicus
Western yellow wagtail,Motacilla flava
Eastern yellow wagtail,Motacilla tschutschensis
Citrine wagtail,Motacilla citreola
Grey wagtail,Motacilla cinerea
White wagtail,Motacilla alba
White-browed wagtail,Motacilla maderaspatensis
Richard's pipit,Anthus richardi
Paddyfield pipit,Anthus rufulus
Blyth's pipit,Anthus godlewskii
Tawny pipit,Anthus campestris
Long-billed pipit,Anthus similis
Tree pipit,Anthus trivialis
Olive-backed pipit,Anthus hodgsoni
Rosy pipit,Anthus roseatus
Red-throated pipit,Anthus cervinus
Buff-bellied pipit,Anthus rubescens
Water pipit,Anthus spinoletta
Nilgiri pipit,Anthus nilghiriensis
Upland pipit,Anthus sylvanus
Meadow pipit,Anthus pratensis
Eurasian chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Black-and-yellow grosbeak,Mycerobas icterioides
Collared grosbeak,Mycerobas affinis
Spot-winged grosbeak,Mycerobas melanozanthos
White-winged grosbeak,Mycerobas carnipes
Hawfinch,Coccothraustes coccothraustes
Brown bullfinch,Pyrrhula nipalensis
Orange bullfinch,Pyrrhula aurantiaca
Red-headed bullfinch,Pyrrhula erythrocephala
Grey-headed bullfinch,Pyrrhula erythaca
Asian crimson-winged finch,Rhodopechys sanguineus
Trumpeter finch,Bucanetes githagineus
Mongolian finch,Bucanetes mongolicus
Blanford's rosefinch,Agraphospiza rubescens
Spectacled finch,Callacanthis burtoni
Golden-naped finch,Pyrrhoplectes epauletta
Dark-breasted rosefinch,Procarduelis nipalensis
Plain mountain finch,Leucosticte nemoricola
Brandt's mountain finch,Leucosticte brandti
Common rosefinch,Carpodacus erythrinus
Scarlet finch,Carpodacus sipahi
Streaked rosefinch,Carpodacus rubicilloides
Great rosefinch,Carpodacus rubicilla
Blyth's rosefinch,Carpodacus grandis
Himalayan beautiful rosefinch,Carpodacus pulcherrimus
Pink-rumped rosefinch,Carpodacus waltoni
Pink-browed rosefinch,Carpodacus rodochroa
Dark-rumped rosefinch,Carpodacus edwardsii
Spot-winged rosefinch,Carpodacus rodopeplus
Vinaceous rosefinch,Carpodacus vinaceus
Pale rosefinch,Carpodacus stoliczkae
Sillem's rosefinch,Carpodacus sillemi
Himalayan white-browed rosefinch,Carpodacus thura
Chinese white-browed rosefinch,Carpodacus dubius
Red-fronted rosefinch,Carpodacus puniceus
Crimson-browed finch,Carpodacus subhimachalus
Three-banded rosefinch,Carpodacus trifasciatus
Yellow-breasted greenfinch,Chloris spinoides
Black-headed greenfinch,Chloris ambigua
Desert finch,Rhodospiza obsoleta
Twite,Linaria flavirostris
Common linnet,Linaria cannabina
Red crossbill,Loxia curvirostra
European goldfinch,Carduelis carduelis
Red-fronted serin,Serinus pusillus
Tibetan serin,Spinus thibetanus
Eurasian siskin,Spinus spinus
Crested bunting,Emberiza lathami
Yellowhammer,Emberiza citrinella
Pine bunting,Emberiza leucocephalos
Rock bunting,Emberiza cia
Godlewski's bunting,Emberiza godlewskii
White-capped bunting,Emberiza stewarti
Grey-necked bunting,Emberiza buchanani
Ortolan bunting,Emberiza hortulana
Striolated bunting,Emberiza striolata
Tristram's bunting,Emberiza tristrami
Chestnut-eared bunting,Emberiza fucata
Little bunting,Emberiza pusilla
Yellow-browed bunting,Emberiza chrysophrys
Rustic bunting,Emberiza rustica
Yellow-breasted bunting,Emberiza aureola
Chestnut bunting,Emberiza rutila
Black-headed bunting,Emberiza melanocephala
Red-headed bunting,Emberiza bruniceps
Black-faced bunting,Emberiza spodocephala
Common reed bunting,Emberiza schoeniclus
